Booking ID,Agent,Country,Package Type,Booking Date,Payment Date,Payment Status,Total Amount
BKG1000,Anil,India,Adventure,2025-05-31,2025-06-21 00:00:00,PAID,45000
BKG1001,Gaurav,Thailand,Honeymoon,2025-07-05,2025-07-26 00:00:00,Paid,"45,000 INR"
BKG1002,Gaurav,India,Corporate,2025-04-09,None,Pending,35000
BKG1003,Suresh,India,Corporate,2025-02-05,2025-02-25 00:00:00,PAID,65000
BKG1004,Ramesh,Thailand,Leisure,2025-01-24,None,Cancelled,15000
BKG1005,Amit,UK,Adventure,2025-04-27,None,Pending,"45,000 INR"
BKG1006,Deepa,UK,Honeymoon,2025-05-29,None,Cancelled,65000
BKG1007,Deepa,Thailand,Corporate,2025-02-10,2025-02-11 00:00:00,PAID,15000
BKG1008,Nisha,USA,Adventure,2025-04-30,None,Pending,55000
BKG1009,Gaurav,Singapore,Leisure,2025-02-21,None,Pending,"45,000 INR"
BKG1010,Arjun,India,Family,2025-07-14,None,Pending,55000
BKG1011,Sameer,USA,Adventure,2025-05-23,None,Pending,"45,000 INR"
BKG1012,Karan,India,Adventure,2025-08-21,None,Pending,55000
BKG1013,Nisha,Singapore,Family,2025-07-06,2025-07-08 00:00:00,Paid,65000
BKG1014,Raj,UK,Adventure,2025-03-25,2025-04-20 00:00:00,Paid,45000
BKG1015,Sonia,USA,Leisure,2025-07-09,2025-07-20 00:00:00,Paid,"45,000 INR"
BKG1016,Raj,United Arab Emirates,Leisure,2025-07-01,2025-07-09 00:00:00,Paid,"45,000 INR"
BKG1017,Meena,United Arab Emirates,Family,2025-04-18,2025-04-23 00:00:00,Paid,55000
BKG1018,Divya,United Arab Emirates,Honeymoon,2025-05-17,2025-06-12 00:00:00,Paid,15000
BKG1019,Vikram,UK,Corporate,2025-02-06,None,Pending,"45,000 INR"
BKG1020,Meena,UK,Honeymoon,2025-03-29,2025-04-17 00:00:00,Paid,55000
BKG1021,Sonia,Singapore,Adventure,2025-05-06,None,Cancelled,25000
BKG1022,Ritika,India,Corporate,2025-03-25,2025-04-01 00:00:00,Paid,55000
BKG1023,Arjun,Singapore,Family,2025-08-25,2025-08-28 00:00:00,Paid,65000
BKG1024,Deepa,Singapore,Family,2025-07-14,None,Pending,45000
BKG1025,Raj,UK,Corporate,2025-05-19,None,Pending,25000
BKG1026,Gaurav,United Arab Emirates,Leisure,2025-04-23,2025-05-20 00:00:00,Paid,65000
BKG1027,Avtar,UAE,Corporate,2025-06-16,None,Cancelled,65000
BKG1028,Deepa,India,Adventure,2025-01-29,None,Cancelled,65000
BKG1029,Sameer,UK,Leisure,2025-04-28,2025-05-23 00:00:00,Paid,15000
BKG1030,Vikram,United Arab Emirates,Family,2025-01-17,2025-02-04 00:00:00,Paid,65000
BKG1031,Suresh,USA,Corporate,2025-06-11,2025-06-18 00:00:00,PAID,15000
BKG1032,Divya,UAE,Honeymoon,2025-07-25,None,Pending,65000
BKG1033,Meena,UAE,Honeymoon,2025-05-18,None,Pending,35000
BKG1034,Avtar,UK,Adventure,2025-02-03,None,Cancelled,25000
BKG1035,Divya,Thailand,Honeymoon,2025-04-19,2025-05-08 00:00:00,Paid,35000
BKG1036,Ritika  ,India,Corporate,2025-06-11,2025-06-18 00:00:00,Paid,65000
BKG1037,Monika,UAE,Corporate,2025-04-19,2025-05-16 00:00:00,Paid,25000
BKG1038,Ramesh,UK,Honeymoon,2025-09-13,None,Pending,25000
